Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
NIP54_2017_2027,2017,2017-08-14,225,122,103,87.8988418579102,70.4417190551758,96.629638671875,3.1875479221344,149.590516,376.146482465805,0.855366826,75,1,338.181003009177,1
SLK175_2017_2072,2017,2017-09-02,244,124,120,42.8390884399414,36.4546241760254,84.1482315063477,7.72966051101685,110.1968337,303.920576477691,0.872795761,730,2,365.252972642035,1
THU58_2017_2073,2017,2017-09-13,255,122,133,55.7017631530762,42.674446105957,90.1255035400391,15.579252243042,17.05692399,122.704021522816,2.768974781,282,1,411.558939163214,1
SLK96_2017_2074,2017,2017-08-09,220,130,90,69.512825012207,53.4450988769531,92.8920822143555,3.6986985206604,264.1484635,440.026659453895,0.471570134,135,1,282.161061208274,1
SLK43_2017_2075,2017,2017-07-31,211,119,92,37.739688873291,36.935173034668,83.9244918823242,6.347900390625,148.2787911,243.566890899911,0.534698784,247,1,278.82551031979,1
SLK82_2017_2076,2017,2017-08-08,219,120,99,76.594352722168,61.0394477844238,101.64656829834,10.0685062408447,230.2859886,370.250706464367,0.519707978,81,1,271.221614860486,1
SLK23_2017_2077,2017,2017-07-29,209,116,93,101.776908874512,69.7196578979492,100.544563293457,4.60263204574585,206.2437442,400.285286988582,0.620642304,156,1,284.790232688976,1
NIP29_2017_2078,2017,2017-08-06,217,130,87,66.4972381591797,50.5479393005371,93.9702682495117,12.4475679397583,176.5576068,290.872130693457,0.483959168,6999,2,270.4388509785,1
NIP77_2017_2079,2017,2017-08-12,223,127,96,82.9181518554688,59.0616035461426,102.626800537109,14.0425500869751,183.671837,396.638787765714,0.836140096,574,2,349.880272055742,1
NIP68_2017_2080,2017,2017-08-12,223,125,98,61.561279296875,54.2769660949707,92.410041809082,8.00118446350098,157.2087712,483.470170332479,0.928604841,644,2,355.396775118472,1
SLK122_2017_2081,2017,2017-08-13,224,127,97,39.7178840637207,30.4746780395508,76.9248123168945,2.73158836364746,302.6803271,525.244706602464,0.547807813,47,1,273.186153495678,1
SLK157_2017_2082,2017,2017-08-14,225,127,98,49.7012519836426,42.0056648254395,88.6044845581055,2.74697923660278,298.0858007,570.424952368636,0.52552551,56,1,291.330820262372,1
SLK44_2017_2083,2017,2017-07-30,210,99,111,105.203514099121,76.8231353759766,108.701881408691,1.1045196056366,249.4259671,382.313974984559,0.477408171,45,1,272.801212587538,1
NIP73_2017_2084,2017,2017-07-30,210,123,87,71.1212005615234,65.4425201416016,90.3462600708008,5.48466682434082,186.6441791,473.113725658205,0.80571138899999994,50,1,315.117419532375,1
THU59_2017_2085,2017,2017-09-14,256,125,131,50.1257057189941,40.6946334838867,82.5515594482422,9.37643432617188,61.42350842,162.53981285908,1.608031869,214,1,380.283566353354,1
SLK64_2017_2086,2017,2017-08-05,216,104,112,107.309234619141,79.7303009033203,107.864524841309,4.12063360214233,215.5139331,339.219183340303,0.471112072,132,1,244.345379628171,1
THU61_2017_2087,2017,2017-09-12,254,122,132,72.0638961791992,51.4042854309082,105.969039916992,25.3567810058594,295.0058222,552.443552538957,0.677065551,87,1,373.845332578522,1
RED87_2017_2088,2017,2017-08-13,224,112,112,46.1728363037109,42.5480766296387,67.3852386474609,14.2310171127319,143.3681398,328.599093658349,0.874452591,180,1,293.052963324486,1
NIP9_2017_2090,2017,2017-07-07,187,124,63,65.5896911621094,54.8931999206543,93.6707382202148,11.4213485717773,167.5253214,330.49735088141,0.684567034,13553,3,178.424972783346,1
NIP39_2017_2091,2017,2017-08-05,216,122,94,87.0794677734375,74.3781127929688,90.8870697021484,7.0092077255249,121.5194588,204.941499179445,0.551579475,265,1,307.178151761071,1
RED69_2017_2092,2017,2017-08-26,237,100,137,55.0136184692383,55.1978225708008,84.1952285766602,18.331657409668,38.65471585,236.658489275597,1.184204817,1144,2,351.514456945157,1
THU31_2017_2093,2017,2017-08-03,214,123,91,65.8122482299805,48.2581939697266,91.9032363891602,6.54343748092651,237.3126653,445.056619238869,1.058893323,181,1,263.921983182116,1
SLK103_2017_2095,2017,2017-08-12,223,113,110,75.9826965332031,62.1974029541016,100.257080078125,3.00698757171631,124.1091512,279.580783072734,0.717932701,198,1,287.766436985116,1
SLK63_2017_2096,2017,2017-08-04,215,120,95,82.7804260253906,73.3847427368164,90.731071472168,7.88248348236084,161.2989889,307.707536871405,0.475061953,60,1,243.272860382877,1
NIP98_2017_2097,2017,2017-08-12,223,129,94,62.9309234619141,49.3335151672363,94.4820022583008,17.5166625976562,314.4020246,537.759793220029,0.630010605,4736,2,314.279820918833,1
RED56_2017_2098,2017,2017-07-30,210,102,108,69.4111709594727,57.4917678833008,93.6430892944336,11.8351678848267,136.2544794,329.486700347244,0.80636245,146,1,236.063449136985,1
SLK7_2017_2099,2017,2017-07-12,192,105,87,64.6695938110352,60.1623649597168,78.7554931640625,1.23909759521484,303.6031404,467.386917419569,0.513545871,131,1,151.022164995731,1
SLK162_2017_2100,2017,2017-08-16,227,121,106,95.7876739501953,74.7736663818359,104.62264251709,4,209.8445097,323.952732936081,0.344803363,51,1,295.518019546903,1
SLK68_2017_2101,2017,2017-08-13,224,114,110,83.6614074707031,67.6631774902344,101.153587341309,9.96147727966309,158.7381042,297.119749572315,0.558535695,510,2,319.268880998267,1
RED103_2017_2102,2017,2017-08-15,226,105,121,75.8263320922852,59.0659370422363,102.715667724609,7.9033145904541,268.1328952,403.641652185544,0.409770519,110,1,292.629300492036,1
